epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.469,1.0048,2.82899,1.54124,0.60687,0.54352,0.62468,0.53132,0.67023,1.72035,1.15933,8.27991e-05,8.27991e-05,8.27991e-05
2,295.052,0.74757,1.71523,1.25091,0.55009,0.60135,0.60981,0.53163,0.55056,1.69126,1.10048,0.000162843,0.000162843,0.000162843
3,445.5,0.75264,1.63045,1.24756,0.5605,0.67761,0.65597,0.5641,0.54542,1.61967,0.97568,0.000239587,0.000239587,0.000239587
4,595.865,0.70478,1.54588,1.2181,0.61358,0.59582,0.59801,0.56341,0.34121,1.55413,0.80692,0.00023515,0.00023515,0.00023515
5,740.992,0.6679,1.42895,1.18903,0.6145,0.68042,0.70946,0.66522,0.35597,1.24463,0.81651,0.0002302,0.0002302,0.0002302
6,888.337,0.64633,1.37108,1.17988,0.6744,0.67661,0.72536,0.71168,0.25866,1.09885,0.74669,0.00022525,0.00022525,0.00022525
7,1038.03,0.63388,1.28951,1.16872,0.67396,0.6803,0.74817,0.7312,0.25608,1.0792,0.68415,0.0002203,0.0002203,0.0002203
8,1188.9,0.63302,1.22808,1.16578,0.69734,0.63984,0.75067,0.72192,0.32178,1.11914,0.75298,0.00021535,0.00021535,0.00021535
9,1336.11,0.60747,1.1526,1.15174,0.71533,0.74435,0.77568,0.74529,0.27833,1.00216,0.71932,0.0002104,0.0002104,0.0002104
10,1485.5,0.58736,1.09147,1.13159,0.72737,0.76697,0.81756,0.7963,0.2431,0.87427,0.70937,0.00020545,0.00020545,0.00020545
11,1636.1,0.58103,1.05794,1.13437,0.72078,0.77484,0.8216,0.79273,0.31142,0.86619,0.72996,0.0002005,0.0002005,0.0002005
12,1782.01,0.56379,1.00927,1.12236,0.74107,0.80172,0.84681,0.82975,0.25768,0.77194,0.68284,0.00019555,0.00019555,0.00019555
13,1931.96,0.56014,0.95963,1.1175,0.76557,0.75449,0.83436,0.81783,0.24891,0.83331,0.6539,0.0001906,0.0001906,0.0001906
14,2078.61,0.55023,0.95515,1.10607,0.78352,0.82012,0.86283,0.85614,0.20862,0.68244,0.61064,0.00018565,0.00018565,0.00018565
15,2227.88,0.54681,0.93484,1.11151,0.75199,0.78552,0.83487,0.82065,0.18985,0.76811,0.60664,0.0001807,0.0001807,0.0001807
16,2373.09,0.53804,0.90658,1.10304,0.83208,0.80932,0.87059,0.8544,0.24144,0.65376,0.6911,0.00017575,0.00017575,0.00017575
17,2520.35,0.5342,0.86443,1.10446,0.77526,0.8089,0.858,0.85109,0.1821,0.69337,0.59071,0.0001708,0.0001708,0.0001708
18,2667.54,0.53208,0.80053,1.09938,0.79976,0.8485,0.87433,0.86238,0.22222,0.61603,0.64618,0.00016585,0.00016585,0.00016585
19,2817.43,0.52557,0.82744,1.09738,0.75314,0.88095,0.88737,0.87813,0.23265,0.62918,0.63855,0.0001609,0.0001609,0.0001609
20,2970.63,0.52054,0.77302,1.09399,0.79542,0.87435,0.89412,0.88469,0.24329,0.57427,0.65255,0.00015595,0.00015595,0.00015595
21,3117.47,0.51234,0.74805,1.08515,0.81663,0.83549,0.88403,0.87514,0.21296,0.60208,0.60947,0.000151,0.000151,0.000151
22,3266.15,0.50638,0.75596,1.08365,0.79702,0.84579,0.89201,0.88799,0.18863,0.56082,0.59659,0.00014605,0.00014605,0.00014605
23,3413.83,0.48805,0.73176,1.06713,0.85854,0.81717,0.88965,0.88499,0.19569,0.54898,0.59951,0.0001411,0.0001411,0.0001411
24,3560.64,0.4935,0.6943,1.07417,0.79268,0.85514,0.87073,0.86402,0.21244,0.63516,0.60898,0.00013615,0.00013615,0.00013615
25,3710.95,0.48558,0.68402,1.06518,0.83736,0.81516,0.88776,0.88629,0.18603,0.55613,0.56646,0.0001312,0.0001312,0.0001312
26,3859.85,0.48029,0.67704,1.06495,0.83992,0.85492,0.9031,0.89941,0.18241,0.51317,0.57557,0.00012625,0.00012625,0.00012625
27,4013.16,0.47615,0.67354,1.0609,0.81897,0.87354,0.90429,0.90071,0.20762,0.54356,0.59993,0.0001213,0.0001213,0.0001213
28,4168.37,0.47099,0.61981,1.05481,0.7773,0.86681,0.8819,0.87938,0.17036,0.60383,0.58688,0.00011635,0.00011635,0.00011635
